Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
Acclaim (M20TN),Jet,"3,230",459.0,426.0,92.0,5910,4200.0,4300.0,3300.0,"18,300",10800.0,45/4,42/11,1800.0,4500000.0
TLS (M20M),Propjet,620,182.0,170.0,58.0,2583,1600.0,1500.0,1940.0,"12,500",6881.0,51/9,65/0,300.0,2670000.0
100 Darter (S.L. Industries),Propjet,620,182.0,171.0,64.0,2457,1600.0,1940.0,1940.0,"12,500",7487.0,51/9,65/0,300.0,2670000.0
PFM (M20L),Propjet,579,165.0,150.0,57.0,2457,1300.0,1900.0,1995.0,"11,579",7250.0,51/9,65/0,713.0,2430000.0
Encore (MS20K),Piston,135,194.0,172.0,56.0,52,1280.0,1730.0,1877.0,"3,935",2765.0,28/1,44/6,1129.0,1800000.0
100 Darter (S.L. Industries),Piston,81,161.0,117.0,37.0,20,680.0,1560.0,1490.0,"1,609",1095.0,23/6,35/7,526.0,2000000.0
205 (M20J),Piston,125,163.0,132.0,34.0,25,1105.0,1263.0,1235.0,"1,654",1166.0,23/6,35/8,422.0,2000000.0
M-20C Ranger ('77-'78),Propjet,850,320.0,255.0,56.0,1887,1380.0,2840.0,2430.0,"7,394",4698.0,34/11,41/7,1520.0,3100000.0
M-20-E Super 21 Chaparral,Propjet,700,300.0,291.0,61.0,1887,2380.0,1591.0,2034.0,"6,579",4050.0,34/11,41/7,1563.0,3000000.0
100 Darter (S.L. Industries),Piston,250,200.0,187.0,54.0,86,1125.0,1953.0,1750.0,"3,083",1795.0,25/4,32/6,713.0,2500000.0
M-20-B Mark 21,Piston,250,167.0,160.0,54.0,86,1260.0,1953.0,1750.0,"3,083",1744.0,25/4,32/6,1100.0,2000000.0
100 Darter (S.L. Industries),Piston,200,177.0,115.0,56.0,55,937.0,1561.0,1474.0,"2,535",1642.0,25/5,32/10,637.0,1600000.0
M-20-Mark 20,Piston,180,132.0,117.0,51.0,54,790.0,1657.0,1394.0,"2,535",1477.0,25/0,32/0,713.0,1300000.0
100 Darter (S.L. Industries),Piston,160,177.0,106.0,50.0,41,738.0,1706.0,1378.0,"2,337",1411.0,25/3,32/0,713.0,1100000.0
H-Rangemaster (1975-'76),Jet,900,0.64,426.0,69.0,1686,3314.0,2297.0,2155.0,"5,920",3550.0,33/6,37/11,1300.0,4100000.0
100 Darter (S.L. Industries),Propjet,750,221.0,181.0,71.0,440,1650.0,4000.0,4400.0,"13,007",8007.0,49/6,50/3,713.0,2150000.0
100 Darter (S.L. Industries),Piston,100,164.0,120.0,46.0,23,1000.0,1706.0,1525.0,"1,235",644.0,18/7,29/11,600.0,1400000.0
100 Darter (S.L. Industries),Piston,400,226.0,213.0,71.0,230,1870.0,1525.0,1940.0,"7,600",5100.0,31/5,46/0,713.0,2220000.0
PA-31-350 Chieftain ('81=optional fuel),Piston,380,239.0,226.0,71.0,230,1900.0,1225.0,1840.0,"7,300",4500.0,31/5,46/0,713.0,3000000.0
100 Darter (S.L. Industries),Piston,400,213.0,201.0,68.0,230,1535.0,1706.0,2176.0,"8,000",5400.0,N/C,N/C,713.0,2220000.0
"PA-31-310 Turbo Navajo B,C (prior '80 less fuel)",Piston,400,213.0,201.0,70.0,264,1490.0,2050.0,2450.0,"8,800",5800.0,N/C,N/C,713.0,2000000.0
PA-31-300 Navajo,Propjet,"1,000",280.0,248.0,88.0,648,2635.0,3495.0,1525.0,"14,500",8737.0,59/4,57/0,1827.0,2990000.0
100 Darter (S.L. Industries),Propjet,940wet,177.0,256.0,86.0,648,2400.0,2050.0,1970.0,"12,500",8000.0,59/4,46/3,1250.0,2700000.0
PA-23 E Turbo Aztec (1971 length=30/2),Propjet,"1,000",278.0,248.0,88.0,648,2635.0,3340.0,2970.0,"14,500",9200.0,59/4,57/0,2040.0,2990000.0
100 Darter (S.L. Industries),Propjet,1000 dry,283.0,261.0,87.0,648,2440.0,2850.0,2532.0,"14,000",9100.0,59/4,57/0,2040.0,3000000.0
"PA-23 D,E Aztec (prior '72 length=30/2)",Propjet,840,270.0,169.0,86.0,544,2400.0,2050.0,1970.0,"12,500",8200.0,59/4,46/3,1815.0,2700000.0
100 Darter (S.L. Industries),Propjet,900,303.0,264.0,92.0,648,2650.0,3080.0,2805.0,"13,230",8200.0,42/2,47/11,2178.0,2940000.0
PA-23 C Aztec,Propjet,900,300.0,265.0,92.0,648,2650.0,2920.0,3530.0,"13,230",8150.0,42/2,46/3,2025.0,2700000.0
100 Darter (S.L. Industries),Propjet,900,303.0,264.0,89.0,648,2800.0,2400.0,3360.0,"12,500",8090.0,42/2,46/3,2025.0,2940000.0
"PA34-180, Seneca V",Propjet,900,309.0,295.0,89.0,648,2780.0,2970.0,3240.0,"12,500",7800.0,42/2,46/3,2025.0,3140000.0
100 Darter (S.L. Industries),Propjet,840,283.0,169.0,83.0,648,2530.0,2150.0,1570.0,"12,500",7600.0,42/2,46/3,2670.0,2890000.0
PA-34-220T Seneca III (roc=t/o power),Propjet,665,177.0,257.0,76.0,386,2780.0,2970.0,3240.0,"10,000",6150.0,40/1,45/10,1318.0,2990000.0
100 Darter (S.L. Industries),Propjet,550,177.0,235.0,75.0,386,1950.0,2300.0,2380.0,"9,800",6075.0,40/1,45/10,1250.0,3100000.0
100 Darter (S.L. Industries),Piston,100,120.0,112.0,39.0,34,960.0,1706.0,1525.0,"1,320",649.0,20/4,28,1080.0,1400000.0
100 Darter (S.L. Industries),Piston,100,145.0,119.0,35.0,29,850.0,1050.0,1100.0,"1,320",760.0,20/4,31/6,730.0,1320000.0
PA-39 C/R Turbo Twin Comanche,Piston,100,133.0,116.0,36.0,18,850.0,1450.0,1410.0,"1,320",820.0,20/6,20/6,400.0,1320000.0
PA-30 B Turbo Twin Comanche,Jet,"14,750",516.0,459.0,56.0,41000,1200.0,5870.0,2950.0,"89,400",46800.0,96/5,93/6,6500.0,5100000.0
100 Darter (S.L. Industries),Jet,"13,850",505.0,459.0,115.0,29500,4122.0,5450.0,3190.0,"75,000",42500.0,88/4,77/10,4220.0,4500000.0
PA-23-150 Apache,Jet,"13,850",510.0,459.0,108.0,29500,4219.0,5265.0,3393.0,"73,200",42500.0,88/4,77/10,4420.0,4500000.0
100 Darter (S.L. Industries),Jet,"11,400",503.0,459.0,104.0,28300,4049.0,5115.0,3250.0,"69,700",38000.0,83/1,77/10,3767.0,4500000.0
100 Darter (S.L. Industries),Jet,"11,400",503.0,459.0,103.0,28300,4049.0,5115.0,3250.0,"69,700",38150.0,79/11,77/10,3680.0,4500000.0
PA-24-C 260 Comanche,Jet,"11,400",503.0,459.0,103.0,26800,4240.0,5750.0,3168.0,"65,500",37186.0,79/11,72/6,2795.0,4500000.0
100 Darter (S.L. Industries),Jet,"11,400",503.0,459.0,108.0,23300,4345.0,5625.0,3198.0,"64,800",36544.0,79/11,68/11,2592.0,4500000.0
PA-32R-301T Saratoga II TC,Propjet,"1,950",340.0,299.0,87.0,10463,1900.0,1706.0,1525.0,"36,000",23008.0,63/9,78/4,2164.0,3000000.0
100 Darter (S.L. Industries),Jet,"3,700",443.0,400.0,87.0,9450,3000.0,5800.0,3600.0,"24,800",14150.0,50/9,47/0,713.0,4100000.0
PA-32-300 '73-74 hgt=7/9 ('79 fuel=94 gal),Jet,"3,750",456.0,435.0,83.0,9450,4500.0,4850.0,2125.0,"25,000",12865.0,50/6,47/0,713.0,4100000.0
100 Darter (S.L. Industries),Jet,"3,360",443.0,385.0,77.0,9100,3100.0,5000.0,1990.0,"23,300",11920.0,47/5,47/0,713.0,4100000.0
PA-32-260 ('74-'78) 1974 height=7/9,Jet,"3,360",443.0,385.0,79.0,9100,4150.0,3800.0,2450.0,"22,700",12000.0,47/5,47/0,713.0,4100000.0
100 Darter (S.L. Industries),Jet,"3,700",476.0,415.0,89.0,9580,3500.0,5250.0,2350.0,"23,500",12800.0,52/3,44/9,2904.0,4500000.0
"PA-28R-,RT-,201T Turbo Arrow III, IV",Jet,"3,700",471.0,426.0,90.0,8710,3200.0,4950.0,2450.0,"22,850",12500.0,52/3,44/9,2440.0,4500000.0
100 Darter (S.L. Industries),Jet,"3,100",471.0,426.0,87.0,8620,4040.0,5750.0,2900.0,"20,700",11500.0,52/3,44/8,1450.0,4500000.0
PA-28-200R Arrow II (1973-'76),Jet,"2,950",471.0,426.0,84.0,7350,5000.0,5450.0,3900.0,"18,500",10500.0,50/5,43/3,1100.0,4500000.0
100 Darter (S.L. Industries),Jet,"2,850",471.0,426.0,82.0,6250,4400.0,5400.0,3900.0,"17,500",10500.0,50/5,43/3,950.0,4000000.0
100 Darter (S.L. Industries),Piston,120,125.0,120.0,39.0,36,700.0,1706.0,1525.0,"1,320",780.0,21/5,30/0,840.0,1500000.0
PA-28 180 Challenger & Archer,Piston,120,130.0,120.0,39.0,35,700.0,1706.0,1525.0,"1,320",800.0,21/5,32/5,800.0,1500000.0
100 Darter (S.L. Industries),Piston,180,122.0,114.0,39.0,40,800.0,1275.0,900.0,"2,400",1555.0,24/11,38/0,296.0,1300000.0
PA-28 C 150 Cherokee,Piston,180,123.0,117.0,45.0,30,800.0,1375.0,900.0,"2,350",1520.0,23/6,34/0,305.0,1350000.0
100 Darter (S.L. Industries),Piston,150,109.0,97.0,50.0,30,700.0,1550.0,900.0,"2,150",1450.0,23/6,34/0,320.0,950000.0
"PA-28 150,B 150 Cherokee",Piston,180,125.0,122.0,39.0,40,1000.0,1250.0,1525.0,"2,400",1345.0,24/11,38/0,296.0,1350000.0
100 Darter (S.L. Industries),Piston,180,149.0,143.0,39.0,40,800.0,1275.0,900.0,"2,400",1575.0,24/11,38/0,543.0,2000000.0
PA-28-151 Warrior (prior '77 stall=58),Piston,200,177.0,130.0,39.0,40,1200.0,875.0,900.0,"2,600",1535.0,24/11,38/0,455.0,1470000.0
100 Darter (S.L. Industries),Piston,200,135.0,130.0,39.0,40,1200.0,1050.0,950.0,"2,690",1555.0,24/11,38/0,455.0,1470000.0
PA-36-375 Brave (spray restr. category),Piston,125,162.0,125.0,49.0,30,682.0,1496.0,1519.0,"1,750",1160.0,20/4,28/9,505.0,2000000.0
"PA-25 235 C,D Pawnee (normal category)",Jet,"3,300",496.0,435.0,106.0,2660,4050.0,1706.0,3440.0,"41,900",20999.0,60/5,54/5,713.0,4300000.0
100 Darter (S.L. Industries),Piston,90,96.0,83.0,37.0,25,660.0,1850.0,1540.0,"1,400",870.0,20/0,35/0,273.0,1600000.0
PA-22 135 Tri-Pacer,Piston,85,91.0,83.0,37.0,30,640.0,1850.0,1540.0,"1,400",791.0,19/8,34/7,346.0,1550000.0
100 Darter (S.L. Industries),Piston,65,91.0,78.0,37.0,14,550.0,1950.0,1540.0,"1,260",750.0,19/8,34/7,182.0,1400000.0
PA-18 150 Super Cub,Piston,325,260.0,250.0,77.0,165,1955.0,1980.0,2076.0,Orig,200.0,Orig,Orig,1137.0,2000000.0
PA-18 95 Super Cub,Piston,160,177.0,135.0,40.0,40,825.0,1180.0,500.0,"2,200",1330.0,23/5,32/9,540.0,1300000.0
100 Darter (S.L. Industries),Piston,180,177.0,140.0,40.0,40,920.0,1150.0,500.0,"2,400",1350.0,23/5,32.9,500.0,1500000.0
100 Darter (S.L. Industries),Piston,235,177.0,148.0,30.0,40,1350.0,600.0,600.0,"2,500",1500.0,22/9,33/2,478.0,2000000.0
PA-11,Piston,235,157.0,129.0,38.0,40,1900.0,540.0,540.0,"2,500",1425.0,23/6,33/2,360.0,2000000.0
100 Darter (S.L. Industries),Piston,235,177.0,150.0,33.0,40,1350.0,600.0,600.0,"2,300",1400.0,23/6,30/10,360.0,2000000.0
Kodiak 100,Piston,220,157.0,150.0,33.0,42,1250.0,585.0,600.0,"2,300",1300.0,23/2,30/10,485.0,1900000.0
G3,Piston,210,177.0,170.0,33.0,40,1250.0,600.0,600.0,"2,300",1400.0,22/9,30/10,430.0,2000000.0
Super 340 (Cessna 340 conversion),Piston,210,157.0,137.0,33.0,40,1250.0,600.0,600.0,"2,300",1350.0,22/9,30/10,345.0,1800000.0
100 Darter (S.L. Industries),Piston,180,177.0,136.0,33.0,40,900.0,800.0,600.0,"2,300",1300.0,22/9,30/10,525.0,1500000.0
TurboStream (Cessna 310 & 320 conv) 310hp,Piston,220,157.0,152.0,35.0,42,1250.0,600.0,650.0,"2,300",1280.0,22/0,29/8,530.0,1900000.0
100 Darter (S.L. Industries),Piston,210,157.0,143.0,35.0,42,1250.0,585.0,600.0,"2,100",1250.0,22/0,29/8,500.0,1800000.0
Rocket (Cessna 310 conversion),Piston,180,148.0,135.0,35.0,42,1000.0,700.0,600.0,"2,300",1250.0,22/6,29/8,525.0,1700000.0
305 Rocket,Piston,145,157.0,130.0,35.0,42,700.0,900.0,600.0,"2,100",1100.0,22/0,29/8,750.0,1200000.0
100 Darter (S.L. Industries),Piston,967,151.0,109.0,54.0,106,1400.0,1706.0,1600.0,"9,300",5500.0,31/2,58/0,713.0,2500000.0
100 Darter (S.L. Industries),Jet,"2,900",456.0,438.0,56.0,4260,3180.0,3950.0,2930.0,"15,780",9925.0,48/5,43/6,1530.0,4100000.0
"200 D Meyers (Prop Jets, Inc.)",Jet,"2,500",430.0,400.0,77.0,4260,3050.0,3850.0,2800.0,"14,630",9410.0,48/5,43/6,1513.0,4100000.0
100 Darter (S.L. Industries),Jet,"2,500",434.0,410.0,77.0,646,3000.0,4100.0,2700.0,"13,890",8300.0,48/4,43/5,1510.0,4100000.0
"200 Meyers (Prop Jets, Inc.)",Propjet,778,309.0,296.0,77.0,403,2200.0,2170.0,1880.0,"11,575",7650.0,39/5,39/2,1391.0,2975000.0
100 Darter (S.L. Industries),Propjet,727,322.0,313.0,73.0,403,2350.0,1800.0,1600.0,"10,470",7010.0,33/3,39/2,1600.0,3350000.0
100 Darter (S.L. Industries),Propjet,724,317.0,304.0,73.0,364,2840.0,1800.0,1600.0,"10,470",6864.0,33/3,39/2,1250.0,3220000.0
100 Darter (S.L. Industries),Propjet,776,296.0,283.0,77.0,364,2630.0,2170.0,1880.0,"11,575",7570.0,39/5,39/2,1200.0,2960000.0
100 Darter (S.L. Industries),Propjet,724,317.0,270.0,71.0,366,3100.0,1700.0,1490.0,"9,920",5920.0,33/3,39/2,1175.0,3320000.0
Sabre 75A,Propjet,724,300.0,265.0,73.0,366,2690.0,1870.0,1670.0,"10,800",6800.0,39/5,39/2,1150.0,3080000.0
100 Darter (S.L. Industries),Propjet,705,283.0,261.0,73.0,366,2590.0,1890.0,1670.0,"10,800",6700.0,39/5,39/2,1100.0,2700000.0
Sabre 65,Propjet,705,296.0,270.0,71.0,366,2875.0,1700.0,1320.0,"9,920",5790.0,33/3,39/2,1150.0,3040000.0
100 Darter (S.L. Industries),Propjet,605,261.0,169.0,64.0,285,2000.0,1600.0,1100.0,"8,930",5730.0,33/3,39/2,880.0,2600000.0
100 Darter (S.L. Industries),Piston,280,242.0,237.0,59.0,100,1380.0,1706.0,1525.0,3374,2370.0,26/9,36/5,1852.0,2500000.0
Sting Sport S3,Jet,280,242.0,175.0,56.0,89,1375.0,2100.0,2650.0,3368,2380.0,26/8,36/6,1275.0,2500000.0
108-3,Piston,270,236.0,223.0,58.0,96,1230.0,2050.0,2600.0,"3,368",2353.0,26/11,36/1,713.0,2500000.0
108-1,Piston,280,197.0,191.0,60.0,95,1200.0,1700.0,1600.0,"3,368",2200.0,26/9,36/1,900.0,2100000.0
GC-1B,Piston,217,161.0,169.0,57.0,61,1030.0,2550.0,1910.0,"2,900",2003.0,26/11,36/1,713.0,1930000.0
SA-160,Piston,310,217.0,200.0,60.0,92,1120.0,2079.0,1549.0,"3,680",2380.0,26/1,35/0,813.0,2400000.0
F-21B,Piston,310,197.0,170.0,59.0,100,1300.0,2600.0,2500.0,3380,2250.0,26/8,36/6,1450.0,2000000.0
100 Darter (S.L. Industries),Piston,220,213.0,197.0,60.0,80,1300.0,2000.0,2320.0,"3,100",2000.0,25/5,36/1,1100.0,2500000.0
P2006T,Piston,210,219.0,201.0,59.0,75,1080.0,2200.0,2300.0,"2,900",1800.0,25/5,36/1,980.0,2800000.0
A-36 Bonanza Prop Jet,Piston,200,178.0,171.0,54.0,64,1060.0,1700.0,1600.0,"2,740",1710.0,24/8,36/1,690.0,1860000.0
1000 Jet Prop,Piston,210,201.0,191.0,57.0,75,1080.0,2060.0,2280.0,"2,900",1800.0,25/5,36/1,980.0,2400000.0
100 Darter (S.L. Industries),Piston,200,175.0,170.0,53.0,64,1030.0,1550.0,1550.0,"2,740",1671.0,24/8,36/1,690.0,1880000.0
900 Jet Prop,Piston,200,161.0,156.0,54.0,64,1055.0,1385.0,1786.0,"2,740",1640.0,24/0,35/0,734.0,1880000.0
100 Darter (S.L. Industries),Piston,200,165.0,160.0,50.0,52,1125.0,1550.0,1550.0,"2,575",1600.0,23/2,35/0,601.0,2120000.0
"690A, Prop Jet (690 length=43/0 & height=14/11)",Piston,180,155.0,147.0,50.0,52,875.0,1250.0,1670.0,"2,525",1585.0,24/3,35/0,627.0,1700000.0
100 Darter (S.L. Industries),Piston,180,147.0,143.0,50.0,52,800.0,1395.0,1610.0,"2,575",1525.0,23/2,35/0,659.0,1650000.0
720 Alti-Cruiser,Piston,180,153.0,150.0,50.0,52,860.0,1395.0,1550.0,"2,575",1525.0,23/2,35/0,659.0,1950000.0
100 Darter (S.L. Industries),Piston,200,171.0,163.0,50.0,52,1110.0,1300.0,1365.0,"2,575",1575.0,23/2,35/0,601.0,1880000.0
685 pressurized,Piston,180,165.0,158.0,50.0,52,800.0,1250.0,1550.0,"2,575",1525.0,23/2,35/0,659.0,1720000.0
100 Darter (S.L. Industries),Piston,180,165.0,158.0,50.0,52,1150.0,1050.0,1100.0,"2,450",1525.0,23/2,35/0,745.0,1850000.0
680 W Turbo II Prop Jet,Piston,180,165.0,157.0,50.0,35,1150.0,1050.0,1100.0,"2,450",1440.0,23/1,35/0,513.0,2000000.0
100 Darter (S.L. Industries),Piston,150,149.0,143.0,50.0,35,900.0,1150.0,1100.0,"2,450",1415.0,23/1,35/0,655.0,1720000.0
680 FLP Pressurized Grand,Piston,180,128.0,117.0,50.0,52,740.0,1125.0,1100.0,"2,500",1455.0,23/2,35/0,715.0,1360000.0
100 Darter (S.L. Industries),Piston,90,103.0,96.0,40.0,24,835.0,953.0,1016.0,"1,450",950.0,20/8,30/0,484.0,1250000.0
680 FL Grand,Piston,90,112.0,108.0,39.0,24,640.0,1250.0,1350.0,"1,450",950.0,20/0,30/0,456.0,1730000.0
100 Darter (S.L. Industries),Piston,65,123.0,109.0,37.0,12,1000.0,1000.0,1000.0,850,575.0,17/7,26/1,713.0,1940000.0
100 Darter (S.L. Industries),Piston,285,177.0,166.0,48.0,40,1375.0,980.0,980.0,"3,315",2000.0,27/5,34/9,335.0,2150000.0
560 F,Piston,260,160.0,156.0,51.0,108,1150.0,980.0,980.0,"3,315",1925.0,27/5,34/5,1043.0,2050000.0
100 Darter (S.L. Industries),Piston,260,165.0,147.0,57.0,40,1110.0,1100.0,1100.0,"2,850",1950.0,27/3,33/3,340.0,1660000.0
560 A-HC,Piston,205,142.0,135.0,57.0,40,1050.0,900.0,1100.0,"2,750",1782.0,27/3,33/3,430.0,1560000.0
560,Propjet,850,400.0,169.0,90.0,2630,3000.0,2630.0,2650.0,"10,810",7200.0,47/3,46/0,1746.0,4100000.0
500 U,Propjet,1200,270.0,265.0,64.0,402,1680.0,2300.0,1830.0,"9,920",5732.0,47/3,53/3,2261.0,3000000.0
500 A,Propjet,1000,351.0,334.0,56.0,3819,3242.0,1930.0,2280.0,"12,050",7856.0,43/5,47/8,1879.0,4100000.0
100 Darter (S.L. Industries),Propjet,720,312.0,288.0,89.0,578,2380.0,2280.0,3043.0,"11,200",6837.0,43/5,47/8,1722.0,3584000.0
520,Propjet,720,290.0,275.0,87.0,390,2236.0,3230.0,3017.0,"11,200",6389.0,43/5,47/8,1515.0,3200000.0
2180,Propjet,620,275.0,270.0,77.0,382,1750.0,2940.0,2446.0,"9,474",5164.0,36/8,42/8,1336.0,3240000.0
2150A Kachina,Propjet,620,283.0,269.0,75.0,382,2710.0,1980.0,2480.0,"9,000",5018.0,34/8,42/8,1444.0,3160000.0
